delayInMilliSeconds| cnt 
-------------------| ----
0                  | 8445
1                  | 307 
10                 | 178 
2                  | 94  
9                  | 89  
12                 | 87  
6                  | 79  
3                  | 73  
759                | 58  
5                  | 55  
29                 | 54  
60                 | 39  
11                 | 34  
7                  | 33  
17                 | 33  
13                 | 32  
4                  | 30  
77                 | 29  
16                 | 20  
78                 | 20  
8                  | 17  
61                 | 15  
79                 | 15  
63                 | 14  
30                 | 11  
80                 | 11  
31                 | 10  
757                | 10  
18                 | 8   
19                 | 8   
62                 | 8   
20                 | 7   
28                 | 6   
760                | 6   
22                 | 5   
76                 | 4   
756                | 4   
14                 | 3   
15                 | 3   
21                 | 3   
33                 | 3   
127                | 3   
23                 | 2   
24                 | 2   
25                 | 2   
26                 | 2   
38                 | 2   
46                 | 2   
64                 | 2   
27                 | 1   
32                 | 1   
34                 | 1   
39                 | 1   
41                 | 1   
43                 | 1   
45                 | 1   
56                 | 1   
65                 | 1   
66                 | 1   
71                 | 1   
84                 | 1   
107                | 1   
122                | 1   
126                | 1   
149                | 1   
154                | 1   
156                | 1   
163                | 1   
172                | 1   
251                | 1   
521                | 1   
758                | 1   
